,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
1153,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,17.90,16.86,0.75
1154,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,17.90,16.86,1.00
1155,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,17.90,17.95,0.75
1156,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,228,666,51,193,87,240,154,540,38,79,17.90,17.95,1.00
1157,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,16.41,16.86,0.75
1158,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,16.41,16.86,1.00
1159,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,16.41,17.95,0.75
1160,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,16.41,17.95,1.00
1161,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,17.90,16.86,0.75
1162,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,17.90,16.86,1.00
1163,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,17.90,17.95,0.75
1164,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,16,130,23,265,4,21,17.90,17.95,1.00
1165,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,87,240,154,540,38,79,16.41,16.86,0.75
1166,VT2011,Program,"Personal, arbete och organisation",SU-38230,Stockholms universitet,884,280,33,304,10,112,87,240,154,540,38,79,16.41,16.86,1.00
